number,name,status
1,PEPPurposeandGuidelines,Active
9,SamplePlaintextPEPTemplate,Withdrawn
10,VotingGuidelines,Active
2,ProcedureforAddingNewModules,Active
3,GuidelinesforHandlingBugReports,Withdrawn
4,DeprecationofStandardModules,Active
13,PythonLanguageGovernance,Active
12,SamplereStructuredTextPEPTemplate,Active
8,StyleGuideforPythonCode,Active
11,CPythonplatformsupport,Active
7,StyleGuideforCCode,Active
247,APIforCryptographicHashFunctions,Final
6,BugFixReleases,Active
5,GuidelinesforLanguageEvolution,Active
201,LockstepIteration,Final
200,Python2.0ReleaseSchedule,Final
160,Python1.6ReleaseSchedule,Final
304,ControllingGenerationofBytecodeFiles,Withdrawn
366,Mainmoduleexplicitrelativeimports,Final
373,Python2.7ReleaseSchedule,Final
372,Addinganordereddictionarytocollections,Final
371,Additionofthemultiprocessingpackagetothestandardlibrary,Final
370,Perusersite-packagesdirectory,Final
369,Postimporthooks,Withdrawn
368,Standardimageprotocolandclass,Deferred
396,ModuleVersionNumbers,Rejected
411,ProvisionalpackagesinthePythonstandardlibrary,Superseded
417,IncludingmockintheStandardLibrary,Final
415,Implementcontextsuppressionwithexceptionattributes,Final
412,Key-SharingDictionary,Final
416,Addafrozendictbuiltintype,Rejected
414,ExplicitUnicodeLiteralforPython3.3,Final
424,Amethodforexposingalengthhint,Final
413,FasterevolutionofthePythonStandardLibrary,Withdrawn
446,Makenewlycreatedfiledescriptorsnon-inheritable,Final
445,AddnewAPIstocustomizePythonmemoryallocators,Final
449,RemovalofthePyPIMirrorAutoDiscoveryandNamingScheme,Final
451,AModuleSpecTypefortheImportSystem,Final
448,AdditionalUnpackingGeneralizations,Final
450,AddingAStatisticsModuleToTheStandardLibrary,Final
447,Add__getdescriptor__methodtometaclass,Deferred
444,PythonWeb3Interface,Deferred
484,TypeHints,Final
490,ChainexceptionsatClevel,Rejected
488,EliminationofPYOfiles,Final
496,EnvironmentMarkers,Rejected
511,APIforcodetransformers,Rejected
495,LocalTimeDisambiguation,Final
494,Python3.6ReleaseSchedule,Final
489,Multi-phaseextensionmoduleinitialization,Final
521,Managingglobalcontextvia‘with’blocksingeneratorsandcoroutines,Withdrawn
535,Richcomparisonchaining,Deferred
534,ImprovedErrorsforMissingStandardLibraryModules,Deferred
532,Acircuitbreakingprotocolandbinaryoperators,Deferred
531,Existencecheckingoperators,Withdrawn
530,AsynchronousComprehensions,Final
542,DotNotationAssignmentInFunctionHeader,Rejected
533,Deterministiccleanupforiterators,Deferred
554,MultipleInterpretersintheStdlib,Draft
564,Addnewtimefunctionswithnanosecondresolution,Final
559,Built-innoop(),Rejected
563,PostponedEvaluationofAnnotations,Accepted
571,Themanylinux2010PlatformTag,Superseded
562,Module__getattr__and__dir__,Final
561,DistributingandPackagingTypeInformation,Final
560,Coresupportfortypingmoduleandgenerictypes,Accepted
577,AugmentedAssignmentExpressions,Withdrawn
588,GitHubIssuesMigrationPlan,Draft
586,LiteralTypes,Accepted
596,Python3.9ReleaseSchedule,Active
603,Addingafrozenmaptypetocollections,Draft
595,Improvingbugs.python.org,Withdrawn
590,Vectorcall:afastcallingprotocolforCPython,Accepted
589,TypedDict:TypeHintsforDictionarieswithaFixedSetofKeys,Accepted
587,PythonInitializationConfiguration,Final
619,Python3.10ReleaseSchedule,Active
618,AddOptionalLength-CheckingTozip,Final
617,NewPEGparserforCPython,Accepted
620,HideimplementationdetailsfromtheCAPI,Withdrawn
626,Preciselinenumbersfordebuggingandothertools.,Final
616,Stringmethodstoremoveprefixesandsuffixes,Final
614,RelaxingGrammarRestrictionsOnDecorators,Final
615,SupportfortheIANATimeZoneDatabaseintheStandardLibrary,Accepted
638,SyntacticMacros,Draft
637,Supportforindexingwithkeywordarguments,Rejected
636,StructuralPatternMatching:Tutorial,Final
639,ImprovingLicenseClaritywithBetterPackageMetadata,Draft
